text,rating
"The Apple iPhone XR is an excellent device with a sleek design, vibrant display, and impressive battery life. The performance is smooth and reliable, making it perfect for everyday use. Overall, it’s great value for the price, especially for Apple fans",5.0
"Battery good durability, all functions good, looks great 👍",5.0
The reconditioned iPhone XR was in excellent condition and looked like new.  Battery health  is 100%.  I'm very pleased with the condition and value of this phone.,5.0
"I have had this product for a few years and it still runs well enough to keep for now. Please be aware that the ""crack"" seen on the front of the phone was NOT there upon arrival, that is in fact a slightly cracked screen cover I installed personally after purchasing.The Apple iPhone XR, 64GB, Black (Renewed) is an excellent choice for those looking to get a high-quality iPhone without breaking the bank. As a renewed product, it offers great functionality and performance, making it a worthwhile investment.Performance and Quality:The iPhone XR performs impressively well. The A12 Bionic chip ensures smooth operation, and the battery life is commendable. The 6.1-inch Liquid Retina display is vibrant and clear, making it perfect for media consumption and everyday use. Despite being a renewed product, it functions just as efficiently as a brand-new phone.Value for Money:At this price point, the iPhone XR is a fantastic deal. You get all the features and capabilities of an iPhone without the premium price tag of a brand-new model. For those on a budget, this unlocked version provides flexibility and the freedom to choose your carrier.Condition:However, it’s important to note that the phone does come with some visible wear and tear. While these cosmetic imperfections do not affect the device's performance, they are noticeable. For instance, there might be minor scratches or scuffs on the screen and body. This is expected with a renewed product, but it’s something potential buyers should be aware of.Overall:Overall, the Apple iPhone XR, 64GB, Black (Unlocked) (Renewed) is a solid purchase. It delivers high performance and quality at a reduced cost, making it an excellent value. While it’s not perfect due to visible wear and tear, it’s a small trade-off for the significant savings and the ability to own a high-functioning iPhone. I would definitely recommend it for anyone looking to get the most out of their money.",4.0
I was skeptical purchasing a refurbished phone but it looks new. Works great and my daughter loves the colors!,5.0
This phone came spanking brand new no crack no scratches nothing at all this is amazing I love this iPhone 10/10 definitely would recommend amazing thank you so much,5.0
"The exterior is in perfect condition and so far it’s operating like my previous one iPhone XR. I had accidentally ordered the one that was only 2g (which no one should want) and the seller responded and my cancellation was approved and I got the phone a day earlier. This phone has 4g.The battery: I tested this one. I got 8.2 hours from 100% to 3% with it in Low Mode purposely doing battery-sucking things such as downloading all my apps while a long update was happening, watching videos, syncing stuff from iCloud such as photos, playing a game, etc. The phone was a bit warm and working hard. They guarantee that it will be at least at 80% capacity and some people are lucky to get more. Mine came at 79% which is not a big deal and I just can’t be without a phone.80% isn’t terrible unless you constantly are doing battery sucking things. Don’t fret. My previous one was four or five years old and was at 80% before it got destroyed. They say you lose 1% a month. Not mine because I did battery saving things. At home I would plug it in since I watch battery-sucking things like long YT videos. Often I keep it in low mode and the screen turns off quickly-I have to put in my Lock Screen password a lot which is annoying but it saves usage. When I charge it I practically turn off the light. Turn off background refresh on apps that aren’t that important to be refreshed. Keep your screen brightness as dim as you can handle. I think using it in airplane mode helps. I keep location services off until an app needs it. If you put it on Never so you don’t have to keep tapping the screen, that seriously sucks up the battery. If you take lots of photos and videos, say on vacation, you might want to bring an external battery charger. Limit your notifications on your Lock Screen because all that lighting up sucks your battery. Look at your battery health to see what you’re doing.80% isn’t bad. It depends what you do on it and how you set your screen.",5.0
"The phone I received was by all estimations brand new. Not a mark on it and fully charged. However, being new to the Apple World, I can honestly say Windows & Android are both in plain, simple, super easy to understand English. Apple is not. Even its keyboard is not a full Standard Keyboard, like it is with Windows & any Google machine. Android is Google, that's why I say it that way. No getting around it. Just keeping it short & to the point. Apple's iPhone keyboard takes extreme amount of effort to use because it is not the Standard keyboard of every other operating system. Thankfully, I was able to connect a Bluetooth keyboard to it. Otherwise, it's a serious no-go for keyboard use.As for Apple's iPhone Touchscreen, again, I find it sorely lacking. There's no such thing as the simple pinch & zoom on it. That particular luxury seems to be found only within the Camera & Picture sections. You'd think it'd at least be within the iBook section but it's not. On most everything Windows or Google, every app is not just touch & activate, but also affords the luxury of pinch & zoom as well as easy swipe & easy app close & dismiss. Can't say that about the Apple iPhone.And for some unknown reason its WiFi also keeps turning itself on. I can't seem to keep it off no matter how often I manually turn it off.For Apple being so USER-FRIENDLY, I cannot at all say that it is. In fact, IT IS ANYTHING BUT USER-FRIENDLY.  If the Apple World was so user-friendly, then it would be a very simple and easy transition from the Windows or Google platform to Apple. And I can honestly say it is Not at all simple or easy. I was so hoping it would be as simple & easy as my Windows machine & Android phone, but sadly, it's actually quite maddening.If you enjoy Kindle reads, you'll need to install the app for it. But I can also tell you, Apple's iBook seriously pales in comparison to Kindle. Ironically, the Google Search Engine is installed on Apple's iPhone but Kindle is not. I avoid Google anything & everything as much as can be done. But for Apple to deny Amazon's Kindle Apple on its phones, seems almost a crime.I have yet to install the Kindle reading app or to test out the camera on the iPhone. When I do I'll update my review. But currently I can't say it's anything to brag about. And I most certainly did not expect to see Google's Search Engine/Web Browser on it.Size wise, it's the exact same size as my Sony Xperia Z3v. It still functions quite well. Not perfect, but well enough for me since I have it locked to call, text, Kindle reads & camera.  I can easily read, pinch & zoom & highlight my Kindle reads, pictures & text messages on it. Can only do that with pictures on the iPhone. So for it being so great, I actually find it quite limiting. Not because it's an iPhone, but because the Apple creators decided to create a platform that is quite complex and extremely arduous to use. Apple created its own ""language"" that must be learned in order to navigate the complexities of its Eco-system.  Even now, trying to login to the Apple App Store, no keyboard appears so I can actually install Apps necessary for my personal use. Yet you're required to sign in to it. How can you sign into the App Store when NO KEYBOARD APPEARS TO LET YOU?! So, even if I did not want to use the phone feature, but instead use it as a computer tablet, I cannot because it won't let me login to the App Store. ... Like I said, to anyone new to the Apple world, it's quite a infuriatingly maddening conundrum. If Apple wants to gain new customers and retain them, then Apple needs to change how it operates. And if Apple is supposed to be the safest of all online platforms, then it should not sport Google's web browser.The phone I received was/is like brand new. Operating it though, takes considerable patients as it is quite the learning curve. It should not be so difficult to transition from Windows, Android or Google to Apple. They all made sense to everybody from the moment they came out because they were in simple English and easily understood and simple to navigate because of it. Apple on the other hand, not by a long shot. Even Apple's touchscreen capabilities sorely lacks in comparison. And that's sad. You'd think their touchscreen capabilities would be at least on-par with Windows, Google & Android but it is not. You'd think Apple's touchscreen capabilities might even be better than Windows, Android & Google, but no. Thus far I can find nothing to brag about regarding Apple anything. I was so hoping to find something better about Apple. Instead, I'm greatly disappointed and left seriously frustrated.The iPhone itself came fully charged and appears in brand new condition. It also came with an original Apple Charger.I give the seller a stellar 5 star rating, along with the iPhone I received.I give Apple itself a mediocre 3, even 2 star rating.So to anyone new to the Apple world, maybe an iPad would be easier to use. I started with a phone since I need both a new phone & a new computer and figured Apple would be a serious upgrade to Windows and for sure compared to Google's Android. ... Apple is not at all user-friendly to a first time user. Only Windows, Google & Android can actually claim user-friendly bragging rights, from day one for any first time user.Apparently I need either direct Apple support or YouTube's Apple education in order to learn how to make the best use of this phone.  I don't fault the phone for anything. It's an Apple thing. It's very nearly like you gotta go to MIT to learn it. And that's just not right.Will update as I learn how to navigate Apple's world & extremely clunky Eco-system.1st Time Apple iPhone User Assessment. -Phone - good. - can't give it high marks due to Apple itself.Apple - not worth all the money & certainly nothing to brag about.",4.0
"I needed to replace my iPhone, chose a renewed iPhone XR.  It arrived in 2 days and looked perfect - no scratches on screen, battery max capacity at 96%.  At the last step of transitioning from old phone, when I went to put my Verizon SIM card in SIM tray  there was no SIM tray, just an opening for it. The seller wanted a photo as documentation - crazy since that proves nothing, I could have just taken it out!  but I sent photo and they sent a replacement SIM tray.**Hopefully helpful note, to save someone else from trouble I faced: When I took SIM out of old phone but needed SIM tray on new phone to insert, the removal of my SIM without immediate reinstallation triggered Verizon to suspend my phone number for potential SIM fraud.  I spent 1 hour online chat with Verizon rep who was unable to get restriction removed, then advised to go to local Verizon office and I spent 2 hours (no exaggeration) getting my phone number back. Apparently SIM stealing is a new thing and with two-factor authentication the carriers are taking risk super seriously.  Moral of story: check your new phone to be sure it has a SIM tray before you switch over!Overall, except for SIM tray issue - seller was good and renewed phone seems great so far!",4.0
"So far so good. I have only had this phone for a day. It arrived a day early. It was clean both inside and out, and you couldn't really tell that this wasn't a brand new phone. The XR has most all the features that anyone would need or actually use (who needs a 3d camera really) and it gets a perfectly clean signal and sound. All I had to do was put in my SIM card, my zip cade and log into iCloud. For the money, if this lasts a year or two it will have been worth every dime.It was missing the charger, but they agreed to send on right away, so that wasn't a problem.",5.0
"I was apprehensive about getting a refurbished phone, however I must say there have been no issues with it and it was in almost perfect aesthetic condition when I received it. I will buy another certified refurbished phone when the time comes but there is nothing wrong with this one.",5.0
I’m not one of those need the newest iPhone people I just want whatever phone I have to work and this one does just that. I was impressed at how clean it is considering it’s refurbished… you would never know unless I were to say something. Super happy and the price was a great selling point as well!,5.0
I’m currently on it now doing reviews. I have it four stars because from the moment I bought it there has been a problems with the screen. It had some discoloration however I was to send it back to them and didn’t so I guess that’s on me.,4.0
"Honestly I was afraid to buy a refurbished phone, but after getting it I wasn’t disappointed. I’ve been using it for over a year and a half and it’s still working good",4.0
"Initially it was fine while unboxing.The camera lens was chipped, and there was noticeable wear on backside of phone.Once it was charged and the phone transfer process was started it functioned.Then midway into transfer the screen went blank and it wouldn’t detect anything on touch screen. The transfer process had to be paused and the phone had to be reset to function again. After resetting the transfer process completed. I put it in a special case and of course installed a tempered glass screen protector.The next day while attempting to use the phone the screen went blank and wouldn’t initialize or detect touch and the phone could not be used.Again it had to be reset and restarted so the screen initialization and touch detection would start working again.It did not come as it was described in the original description. This was my first renewed experience and purchase of an Apple phone on Amazon. I am disappointed and I expected better. I expected a normally functioning phone without problem and reliability issues.",3.0
Ordered iPhone XR looks great screen and phone itself looks brand new. I am very pleased with it. This is my third iPhone that I have ordered. I ordered two recently for both of my daughters and now I have ordered this one for myself. I highly recommend buying from the seller.,5.0
"A pesar que es reconstruido me ha salido súper bien , todavía lo tengo",4.0
Good product,4.0
Works excellent,4.0
Tal y como se describe entrega rapida y lo mas importante en buenas condiciones  gracias,5.0
"Came exactly as described, not a single imperfection. Like brand new!",5.0
"My fiancée ordered this and has been using it for months, it has given him no problems! GREAT product 10/10 recommend",5.0
I got exactly what I ordered and in perfect working order and for being used looks damn near brand new! Thank you.,5.0
Survived a car crash... The car did not survive,4.0
It did have a scratch on the screen that it shouldn’t have but otherwise it’s a nice phone. I’m still happy just a bit disappointed that should have been caught.,4.0
Excelente producto mi teléfono en perfecto estado gracias,5.0
N/A,5.0
Overall good purchase,4.0
"I researched a lot of sellers this one had the best reviews. Great price too! Looks brand new! No scratches anywhere! Came with brand new block and charger! Instructions and nicely packed in it's box HOWEVER, AMAZON THREW IT IN A BOX WITH NO PACKING SO IT WAS THROWN AROUND WITH NO PROTECTION INSIDE THE AMAZON BOX! THE IPAD I ORDERED CAME THE SAME WAY!! WTF!! THIS IS AMAZON'S FAULT NOT THE SELLER'S!",5.0
I wouldn’t mind buying from this seller again. I should follow this store for future purchases!,5.0
It works when it wants too I’ve had better fromAmazon before tried me like a chump,4.0
Everything works perfect but the speaker was the only thing that was broken but it is what it is.,4.0
"Perfect, bought it for my dad as a gift, uses very easily, no flaws whatsoever, highly recommend",5.0
Looks brand new. Face ID no fingerprint. Not too small or too big perfect for me. Love the color I got. Works perfectly,5.0
This product  features on functionality,5.0
"This is my first I-phone purchase, previously having used only android phones.  The phone arrived in very good to excellent condition.  The screen and body were in excellent condition.  A tiny amount of prior use was evident at the point where the charger connected to the phone.  The phone was charged and ready for use.  Following the prompts on the phone, I was able to transfer my contacts from my android phone to the I-phone over WiFi with no problems.  Due to my arthritic hands,  I had difficulty inserting the SIM card, but a quick trip to a nearby Apple Store solved that issue. I will purchase a refurbished phone in the future when the need arises.  Also, the phone arrived overnight.",5.0
Awsome !!,5.0
Bought this to replace my son’s broken phone. Still going strong with no issues 12 months later!,5.0
Love love loveAmazing device,5.0
